,edges
0,concavity_mean
1,compactness_mean
2,compactness_mean
3,perimeter_mean
4,concave points_worst
5,concave points_mean
6,smoothness_worst
7,smoothness_mean
8,concave points_mean
9,radius_mean
10,concavity_worst
11,compactness_worst
12,radius_mean
13,perimeter_mean
14,radius_worst
15,perimeter_worst
16,texture_worst
17,texture_mean
18,radius_se
19,perimeter_se
20,concave points_mean
21,concavity_mean
22,radius_mean
23,area_mean
24,compactness_worst
25,fractal_dimension_worst
26,concavity_mean
27,concavity_worst
28,radius_worst
29,area_worst
30,perimeter_mean
31,radius_worst
32,radius_se
33,area_se
