,edges
0,Feature 3
1,Feature 5
2,Feature 6
3,Feature 3
4,Feature 8
5,Feature 0
6,Feature 5
7,Feature 9
8,Feature 4
9,Feature 0
10,Feature 2
11,Feature 9
12,Feature 2
13,Feature 0
14,Feature 4
15,Feature 8
16,Feature 6
17,Feature 0
18,Feature 7
19,Feature 5
20,Feature 6
21,Feature 1
22,Feature 4
23,Feature 9
24,Feature 0
25,Feature 1
26,Feature 8
27,Feature 5
28,Feature 7
29,Feature 0
30,Feature 7
31,Feature 4
32,Feature 4
33,Feature 5
34,Feature 6
35,Feature 9
36,Feature 7
37,Feature 2
38,Feature 8
39,Feature 9
40,Feature 6
41,Feature 8
42,Feature 7
43,Feature 3
44,Feature 4
45,Feature 3
46,Feature 6
47,Feature 5
48,Feature 7
49,Feature 1
50,Feature 8
51,Feature 1
52,Feature 2
53,Feature 8
54,Feature 2
55,Feature 3
56,Feature 6
57,Feature 2
58,Feature 9
59,Feature 1
60,Feature 7
61,Feature 9
62,Feature 3
63,Feature 0
64,Feature 0
65,Feature 9
66,Feature 2
67,Feature 1
68,Feature 4
69,Feature 2
70,Feature 4
71,Feature 1
72,Feature 3
73,Feature 1
74,Feature 2
75,Feature 5
76,Feature 6
77,Feature 4
78,Feature 3
79,Feature 8
80,Feature 5
81,Feature 0
82,Feature 3
83,Feature 9
84,Feature 5
85,Feature 1
86,Feature 7
87,Feature 8
