,edges
0,Feature 6
1,Feature 7
2,Feature 3
3,Feature 9
4,Feature 5
5,Feature 1
6,Feature 4
7,Feature 2
8,Feature 2
9,Feature 9
10,Feature 9
11,Feature 7
12,Feature 4
13,Feature 0
14,Feature 6
15,Feature 2
16,Feature 9
17,Feature 1
18,Feature 6
19,Feature 8
20,Feature 4
21,Feature 9
22,Feature 3
23,Feature 7
24,Feature 6
25,Feature 1
26,Feature 0
27,Feature 2
28,Feature 3
29,Feature 8
30,Feature 6
31,Feature 5
32,Feature 5
33,Feature 8
34,Feature 8
35,Feature 7
36,Feature 0
37,Feature 3
38,Feature 4
39,Feature 3
40,Feature 6
41,Feature 3
42,Feature 4
43,Feature 5
44,Feature 0
45,Feature 7
46,Feature 3
47,Feature 2
48,Feature 0
49,Feature 5
50,Feature 0
51,Feature 8
52,Feature 5
53,Feature 7
54,Feature 1
55,Feature 7
56,Feature 5
57,Feature 9
58,Feature 2
59,Feature 8
60,Feature 1
61,Feature 8
62,Feature 2
63,Feature 7
64,Feature 5
65,Feature 2
66,Feature 6
67,Feature 9
68,Feature 5
69,Feature 3
70,Feature 9
71,Feature 8
72,Feature 4
73,Feature 7
74,Feature 0
75,Feature 9
76,Feature 2
77,Feature 1
78,Feature 4
79,Feature 1
80,Feature 3
81,Feature 1
82,Feature 0
83,Feature 1
84,Feature 4
85,Feature 8
86,Feature 6
87,Feature 0
