,edges
0,Feature 4
1,Feature 0
2,Feature 2
3,Feature 9
4,Feature 9
5,Feature 7
6,Feature 8
7,Feature 9
8,Feature 6
9,Feature 0
10,Feature 4
11,Feature 8
12,Feature 2
13,Feature 0
14,Feature 8
15,Feature 5
16,Feature 4
17,Feature 7
18,Feature 2
19,Feature 7
20,Feature 2
21,Feature 1
22,Feature 0
23,Feature 9
24,Feature 6
25,Feature 9
26,Feature 0
27,Feature 7
28,Feature 9
29,Feature 1
30,Feature 1
31,Feature 7
32,Feature 8
33,Feature 0
34,Feature 6
35,Feature 5
36,Feature 0
37,Feature 1
38,Feature 4
39,Feature 1
40,Feature 9
41,Feature 5
42,Feature 3
43,Feature 1
44,Feature 2
45,Feature 5
46,Feature 2
47,Feature 6
48,Feature 5
49,Feature 1
50,Feature 3
51,Feature 9
52,Feature 3
53,Feature 5
54,Feature 6
55,Feature 3
56,Feature 0
57,Feature 5
58,Feature 3
59,Feature 0
60,Feature 3
61,Feature 7
62,Feature 6
63,Feature 1
64,Feature 4
65,Feature 9
