,edges
0,Feature 3
1,Feature 5
2,Feature 6
3,Feature 3
4,Feature 8
5,Feature 1
6,Feature 3
7,Feature 7
8,Feature 6
9,Feature 1
10,Feature 4
11,Feature 9
12,Feature 0
13,Feature 2
14,Feature 4
15,Feature 2
16,Feature 1
17,Feature 3
18,Feature 2
19,Feature 9
20,Feature 9
21,Feature 7
22,Feature 6
23,Feature 2
24,Feature 8
25,Feature 9
26,Feature 4
27,Feature 1
28,Feature 0
29,Feature 1
30,Feature 6
31,Feature 7
32,Feature 4
33,Feature 5
34,Feature 0
35,Feature 7
36,Feature 8
37,Feature 5
38,Feature 0
39,Feature 4
40,Feature 6
41,Feature 0
42,Feature 6
43,Feature 4
44,Feature 8
45,Feature 7
46,Feature 0
47,Feature 3
48,Feature 5
49,Feature 7
50,Feature 8
51,Feature 6
52,Feature 2
53,Feature 5
54,Feature 6
55,Feature 5
56,Feature 9
57,Feature 5
58,Feature 8
59,Feature 3
60,Feature 4
61,Feature 3
62,Feature 1
63,Feature 9
64,Feature 9
65,Feature 3
66,Feature 0
67,Feature 5
68,Feature 2
69,Feature 7
70,Feature 8
71,Feature 4
72,Feature 6
73,Feature 9
74,Feature 1
75,Feature 7
76,Feature 2
77,Feature 3
78,Feature 8
79,Feature 0
80,Feature 4
81,Feature 7
82,Feature 0
83,Feature 9
84,Feature 1
85,Feature 5
86,Feature 2
87,Feature 1
88,Feature 8
89,Feature 2
