,edges
0,Feature 2
1,Feature 9
2,Feature 4
3,Feature 0
4,Feature 9
5,Feature 7
6,Feature 3
7,Feature 9
8,Feature 5
9,Feature 1
10,Feature 6
11,Feature 7
12,Feature 4
13,Feature 9
14,Feature 3
15,Feature 7
16,Feature 6
17,Feature 1
18,Feature 8
19,Feature 0
20,Feature 5
21,Feature 9
22,Feature 9
23,Feature 0
24,Feature 6
25,Feature 3
26,Feature 3
27,Feature 5
28,Feature 3
29,Feature 0
30,Feature 8
31,Feature 5
32,Feature 4
33,Feature 5
34,Feature 0
35,Feature 7
36,Feature 2
37,Feature 7
38,Feature 8
39,Feature 4
40,Feature 6
41,Feature 9
42,Feature 6
43,Feature 0
44,Feature 3
45,Feature 4
46,Feature 0
47,Feature 1
48,Feature 2
49,Feature 4
50,Feature 8
51,Feature 1
52,Feature 8
53,Feature 2
54,Feature 2
55,Feature 1
56,Feature 6
57,Feature 5
58,Feature 8
59,Feature 3
60,Feature 8
61,Feature 9
62,Feature 6
63,Feature 8
64,Feature 8
65,Feature 7
66,Feature 5
67,Feature 7
68,Feature 1
69,Feature 7
70,Feature 2
71,Feature 3
72,Feature 4
73,Feature 7
74,Feature 2
75,Feature 5
76,Feature 6
77,Feature 4
78,Feature 5
79,Feature 0
80,Feature 4
81,Feature 1
82,Feature 3
83,Feature 1
84,Feature 2
85,Feature 0
86,Feature 9
87,Feature 1
88,Feature 6
89,Feature 2
