,edges
0,Feature 6
1,Feature 0
2,Feature 4
3,Feature 8
4,Feature 2
5,Feature 9
6,Feature 4
7,Feature 0
8,Feature 9
9,Feature 7
10,Feature 6
11,Feature 8
12,Feature 4
13,Feature 9
14,Feature 6
15,Feature 1
16,Feature 3
17,Feature 7
18,Feature 3
19,Feature 9
20,Feature 5
21,Feature 1
22,Feature 6
23,Feature 7
24,Feature 5
25,Feature 9
26,Feature 3
27,Feature 0
28,Feature 5
29,Feature 7
30,Feature 0
31,Feature 7
32,Feature 4
33,Feature 5
34,Feature 4
35,Feature 2
36,Feature 4
37,Feature 3
38,Feature 1
39,Feature 7
40,Feature 2
41,Feature 3
42,Feature 8
43,Feature 7
44,Feature 5
45,Feature 8
46,Feature 8
47,Feature 1
48,Feature 6
49,Feature 5
50,Feature 2
51,Feature 8
52,Feature 0
53,Feature 8
54,Feature 2
55,Feature 7
56,Feature 5
57,Feature 2
58,Feature 6
59,Feature 9
60,Feature 5
61,Feature 3
62,Feature 3
63,Feature 8
64,Feature 5
65,Feature 0
66,Feature 9
67,Feature 8
68,Feature 4
69,Feature 7
70,Feature 2
71,Feature 1
72,Feature 2
73,Feature 0
74,Feature 0
75,Feature 1
76,Feature 4
77,Feature 1
78,Feature 3
79,Feature 1
80,Feature 9
81,Feature 1
82,Feature 6
83,Feature 2
84,Feature 9
85,Feature 0
86,Feature 6
87,Feature 3
