,edges
0,Feature 3
1,Feature 4
2,Feature 9
3,Feature 7
4,Feature 8
5,Feature 9
6,Feature 5
7,Feature 4
8,Feature 3
9,Feature 9
10,Feature 6
11,Feature 7
12,Feature 5
13,Feature 1
14,Feature 8
15,Feature 0
16,Feature 5
17,Feature 9
18,Feature 3
19,Feature 7
20,Feature 9
21,Feature 6
22,Feature 3
23,Feature 1
24,Feature 9
25,Feature 4
26,Feature 4
27,Feature 1
28,Feature 0
29,Feature 1
30,Feature 8
31,Feature 3
32,Feature 5
33,Feature 3
34,Feature 1
35,Feature 7
36,Feature 8
37,Feature 5
38,Feature 3
39,Feature 6
40,Feature 0
41,Feature 3
42,Feature 0
43,Feature 6
44,Feature 9
45,Feature 2
46,Feature 2
47,Feature 6
48,Feature 1
49,Feature 6
50,Feature 8
51,Feature 7
52,Feature 5
53,Feature 6
54,Feature 5
55,Feature 7
56,Feature 8
57,Feature 6
58,Feature 0
59,Feature 2
60,Feature 0
61,Feature 4
62,Feature 0
63,Feature 5
64,Feature 8
65,Feature 1
66,Feature 8
67,Feature 2
68,Feature 4
69,Feature 6
70,Feature 3
71,Feature 2
72,Feature 0
73,Feature 7
74,Feature 9
75,Feature 1
76,Feature 4
77,Feature 2
78,Feature 2
79,Feature 7
80,Feature 5
81,Feature 2
82,Feature 8
83,Feature 4
84,Feature 2
85,Feature 1
86,Feature 0
87,Feature 9
88,Feature 4
89,Feature 7
