,edges
0,Feature 2
1,Feature 9
2,Feature 4
3,Feature 0
4,Feature 9
5,Feature 7
6,Feature 8
7,Feature 7
8,Feature 5
9,Feature 6
10,Feature 5
11,Feature 0
12,Feature 9
13,Feature 0
14,Feature 8
15,Feature 1
16,Feature 5
17,Feature 8
18,Feature 4
19,Feature 7
20,Feature 5
21,Feature 9
22,Feature 8
23,Feature 0
24,Feature 1
25,Feature 7
26,Feature 2
27,Feature 3
28,Feature 0
29,Feature 7
30,Feature 8
31,Feature 2
32,Feature 2
33,Feature 1
34,Feature 9
35,Feature 6
36,Feature 4
37,Feature 9
38,Feature 0
39,Feature 3
40,Feature 3
41,Feature 6
42,Feature 8
43,Feature 6
44,Feature 5
45,Feature 7
46,Feature 4
47,Feature 1
48,Feature 2
49,Feature 6
50,Feature 1
51,Feature 6
52,Feature 0
53,Feature 6
54,Feature 4
55,Feature 6
56,Feature 4
57,Feature 3
58,Feature 9
59,Feature 3
60,Feature 4
61,Feature 2
62,Feature 1
63,Feature 3
64,Feature 8
65,Feature 9
66,Feature 7
67,Feature 3
68,Feature 8
69,Feature 3
70,Feature 5
71,Feature 3
72,Feature 7
73,Feature 6
74,Feature 5
75,Feature 2
76,Feature 2
77,Feature 7
78,Feature 5
79,Feature 1
80,Feature 0
81,Feature 1
82,Feature 4
83,Feature 8
84,Feature 2
85,Feature 0
86,Feature 9
87,Feature 1
