,edges
0,MDVP:Shimmer(dB)
1,MDVP:PPQ
2,MDVP:Shimmer
3,HNR
4,MDVP:RAP
5,Jitter:DDP
6,spread1
7,MDVP:Fo(Hz)
8,PPE
9,spread1
10,MDVP:Shimmer
11,MDVP:Shimmer(dB)
12,MDVP:Fo(Hz)
13,MDVP:Flo(Hz)
14,MDVP:PPQ
15,MDVP:Jitter(%)
16,Shimmer:DDA
17,MDVP:APQ
18,D2
19,MDVP:Fo(Hz)
20,MDVP:PPQ
21,PPE
22,DFA
23,NHR
24,MDVP:Shimmer
25,Shimmer:APQ5
26,MDVP:Fo(Hz)
27,NHR
28,DFA
29,MDVP:Shimmer
30,DFA
31,MDVP:Fo(Hz)
32,HNR
33,D2
34,Shimmer:APQ5
35,MDVP:APQ
36,MDVP:Shimmer(dB)
37,MDVP:APQ
38,Shimmer:APQ3
39,Shimmer:DDA
40,MDVP:Jitter(%)
41,MDVP:RAP
42,spread1
43,spread2
44,MDVP:Fo(Hz)
45,MDVP:Fhi(Hz)
46,Shimmer:DDA
47,MDVP:Shimmer
48,DFA
49,MDVP:Jitter(%)
50,HNR
51,RPDE
52,Jitter:DDP
53,NHR
