,edges
0,MDVP:Fo(Hz)
1,MDVP:Fhi(Hz)
2,MDVP:Jitter(%)
3,MDVP:RAP
4,spread1
5,spread2
6,MDVP:Shimmer(dB)
7,MDVP:PPQ
8,MDVP:Shimmer
9,HNR
10,MDVP:RAP
11,Jitter:DDP
12,spread1
13,PPE
14,MDVP:PPQ
15,MDVP:Jitter(%)
16,MDVP:Fo(Hz)
17,MDVP:Shimmer
18,MDVP:PPQ
19,spread1
20,MDVP:Shimmer(dB)
21,MDVP:APQ
22,DFA
23,NHR
24,MDVP:Shimmer
25,Shimmer:APQ5
26,HNR
27,NHR
28,RPDE
29,spread1
30,MDVP:Fo(Hz)
31,MDVP:Flo(Hz)
32,MDVP:Shimmer
33,MDVP:Shimmer(dB)
34,HNR
35,D2
36,Shimmer:APQ3
37,Shimmer:DDA
38,Jitter:DDP
39,NHR
40,HNR
41,RPDE
42,Shimmer:DDA
43,MDVP:Shimmer
