,edges
0,MDVP:Shimmer(dB)
1,MDVP:PPQ
2,MDVP:Shimmer(dB)
3,HNR
4,PPE
5,spread1
6,MDVP:Shimmer
7,MDVP:Shimmer(dB)
8,MDVP:Fo(Hz)
9,MDVP:Flo(Hz)
10,MDVP:PPQ
11,MDVP:Jitter(%)
12,DFA
13,MDVP:Jitter(%)
14,HNR
15,D2
16,Shimmer:DDA
17,Shimmer:APQ3
18,MDVP:RAP
19,Jitter:DDP
20,spread1
21,spread2
22,MDVP:Fo(Hz)
23,MDVP:Fhi(Hz)
24,MDVP:Jitter(%)
25,MDVP:RAP
26,MDVP:Shimmer(dB)
27,MDVP:APQ
28,Shimmer:APQ3
29,MDVP:Shimmer
30,HNR
31,RPDE
32,Jitter:DDP
33,NHR
34,MDVP:Shimmer
35,Shimmer:APQ5
36,MDVP:PPQ
37,PPE
