,edges
0,e30
1,e29
2,e45
3,e46
4,e42
5,e41
6,e21
7,e20
8,e26
9,e25
10,e38
11,e39
12,e36
13,e35
14,e11
15,e10
16,e4
17,e5
18,e37
19,e38
20,e56
21,e58
22,e35
23,e34
24,e45
25,e44
26,e30
27,e31
28,e31
29,e32
30,e8
31,e7
32,e60
33,e59
34,e59
35,e56
36,e46
37,e47
38,e29
39,e28
40,e17
41,e18
42,e10
43,e9
44,e23
45,e22
46,e13
47,e12
48,e2
49,e3
50,e24
51,e25
52,e27
53,e28
54,e20
55,e19
56,e1
57,e2
58,e26
59,e24
60,e18
61,e19
62,e32
63,e33
64,e44
65,e43
66,e14
67,e13
68,e5
69,e6
70,e7
71,e6
72,e15
73,e14
74,e12
75,e10
76,e41
77,e40
78,e18
79,e21
80,e9
81,e8
82,e34
83,e33
84,e47
85,e48
86,e43
87,e42
88,e27
89,e26
90,e21
91,e22
92,e39
93,e40
94,e53
95,e52
96,e3
97,e4
98,e15
99,e16
100,e24
101,e23
102,e48
103,e49
104,e12
105,e11
106,e16
107,e17
108,e37
109,e36
110,e49
111,e50
