,edges
0,e40
1,e39
2,e24
3,e23
4,e44
5,e43
6,e32
7,e33
8,e21
9,e22
10,e9
11,e8
12,e34
13,e33
14,e42
15,e41
16,e26
17,e25
18,e20
19,e19
20,e31
21,e32
22,e49
23,e48
24,e8
25,e7
26,e37
27,e38
28,e45
29,e44
30,e30
31,e31
32,e15
33,e14
34,e3
35,e4
36,e53
37,e52
38,e15
39,e16
40,e35
41,e34
42,e20
43,e21
44,e10
45,e9
46,e18
47,e17
48,e1
49,e2
50,e26
51,e24
52,e29
53,e30
54,e41
55,e40
56,e24
57,e25
58,e27
59,e28
60,e12
61,e11
62,e47
63,e49
64,e7
65,e6
66,e59
67,e60
68,e39
69,e38
70,e17
71,e15
72,e52
73,e51
74,e37
75,e36
76,e49
77,e50
78,e4
79,e5
80,e39
81,e37
82,e36
83,e35
84,e45
85,e46
86,e46
87,e47
88,e29
89,e28
90,e14
91,e13
92,e10
93,e11
94,e23
95,e22
96,e13
97,e12
98,e2
99,e3
100,e17
101,e16
102,e43
103,e42
104,e27
105,e26
106,e19
107,e18
