,edges
0,e32
1,e31
2,e35
3,e34
4,e42
5,e41
6,e38
7,e39
8,e11
9,e10
10,e36
11,e35
12,e4
13,e5
14,e24
15,e23
16,e45
17,e44
18,e33
19,e32
20,e30
21,e31
22,e25
23,e26
24,e26
25,e27
26,e46
27,e45
28,e18
29,e19
30,e42
31,e43
32,e19
33,e20
34,e47
35,e46
36,e29
37,e30
38,e17
39,e18
40,e23
41,e22
42,e13
43,e12
44,e2
45,e3
46,e37
47,e36
48,e49
49,e50
50,e10
51,e9
52,e16
53,e17
54,e12
55,e11
56,e29
57,e28
58,e16
59,e29
60,e27
61,e28
62,e7
63,e6
64,e1
65,e2
66,e14
67,e13
68,e48
69,e47
70,e15
71,e16
72,e46
73,e42
74,e52
75,e51
76,e44
77,e43
78,e60
79,e59
80,e8
81,e7
82,e51
83,e48
84,e6
85,e5
86,e48
87,e49
88,e3
89,e4
90,e53
91,e52
92,e9
93,e8
94,e34
95,e33
96,e41
97,e40
98,e25
99,e24
100,e37
101,e38
102,e12
103,e10
104,e15
105,e14
106,e21
107,e22
108,e58
109,e56
110,e39
111,e40
112,e20
113,e21
