,edges
0,e41
1,e42
2,e25
3,e26
4,e40
5,e39
6,e24
7,e23
8,e20
9,e19
10,e32
11,e31
12,e35
13,e34
14,e21
15,e22
16,e38
17,e37
18,e39
19,e38
20,e47
21,e48
22,e34
23,e33
24,e9
25,e8
26,e46
27,e47
28,e29
29,e28
30,e45
31,e46
32,e4
33,e5
34,e36
35,e35
36,e12
37,e11
38,e27
39,e28
40,e26
41,e27
42,e42
43,e43
44,e15
45,e14
46,e25
47,e24
48,e14
49,e13
50,e10
51,e11
52,e29
53,e30
54,e37
55,e36
56,e13
57,e12
58,e2
59,e3
60,e23
61,e22
62,e17
63,e16
64,e10
65,e9
66,e48
67,e49
68,e20
69,e21
70,e15
71,e16
72,e3
73,e4
74,e1
75,e2
76,e18
77,e17
78,e19
79,e18
80,e33
81,e32
82,e45
83,e44
