,edges
0,e3
1,e4
2,e16
3,e15
4,e39
5,e40
6,e21
7,e22
8,e38
9,e39
10,e4
11,e5
12,e25
13,e26
14,e45
15,e44
16,e33
17,e32
18,e30
19,e31
20,e37
21,e38
22,e42
23,e41
24,e21
25,e20
26,e18
27,e19
28,e26
29,e27
30,e35
31,e34
32,e32
33,e31
34,e18
35,e17
36,e1
37,e2
38,e2
39,e3
40,e23
41,e22
42,e17
43,e16
44,e43
45,e42
46,e12
47,e11
48,e27
49,e28
50,e47
51,e49
52,e7
53,e6
54,e44
55,e43
56,e52
57,e51
58,e49
59,e50
60,e31
61,e21
62,e10
63,e9
64,e12
65,e13
66,e59
67,e60
68,e20
69,e18
70,e29
71,e30
72,e36
73,e37
74,e15
75,e14
76,e9
77,e8
78,e34
79,e33
80,e24
81,e25
82,e40
83,e41
84,e45
85,e46
86,e23
87,e24
88,e46
89,e47
90,e29
91,e28
92,e35
93,e36
94,e20
95,e19
96,e8
97,e7
98,e49
99,e48
100,e10
101,e11
102,e14
103,e13
