,edges
0,e34
1,e33
2,e28
3,e27
4,e9
5,e8
6,e41
7,e42
8,e32
9,e31
10,e35
11,e34
12,e45
13,e44
14,e33
15,e32
16,e30
17,e31
18,e47
19,e46
20,e29
21,e30
22,e10
23,e11
24,e14
25,e13
26,e38
27,e39
28,e36
29,e35
30,e4
31,e5
32,e26
33,e25
34,e21
35,e20
36,e48
37,e47
38,e15
39,e16
40,e25
41,e24
42,e37
43,e38
44,e12
45,e11
46,e16
47,e17
48,e20
49,e19
50,e16
51,e18
52,e44
53,e43
54,e15
55,e14
56,e2
57,e1
58,e18
59,e17
60,e3
61,e4
62,e40
63,e41
64,e27
65,e26
66,e28
67,e29
68,e7
69,e6
70,e8
71,e7
72,e10
73,e9
74,e49
75,e50
76,e37
77,e36
78,e2
79,e3
80,e13
81,e12
82,e23
83,e22
84,e39
85,e40
86,e21
87,e22
88,e24
89,e23
90,e42
91,e43
92,e18
93,e19
94,e46
95,e45
96,e48
97,e49
