,edges
0,e38
1,e39
2,e36
3,e35
4,e26
5,e25
6,e42
7,e41
8,e21
9,e20
10,e9
11,e8
12,e34
13,e33
14,e45
15,e44
16,e30
17,e31
18,e4
19,e3
20,e26
21,e27
22,e18
23,e19
24,e42
25,e43
26,e35
27,e34
28,e17
29,e18
30,e10
31,e9
32,e23
33,e22
34,e17
35,e16
36,e13
37,e12
38,e5
39,e4
40,e37
41,e36
42,e49
43,e50
44,e46
45,e47
46,e29
47,e28
48,e16
49,e15
50,e53
51,e52
52,e24
53,e23
54,e20
55,e19
56,e47
57,e49
58,e56
59,e57
60,e7
61,e6
62,e59
63,e60
64,e20
65,e18
66,e40
67,e41
68,e45
69,e42
70,e6
71,e5
72,e44
73,e43
74,e32
75,e33
76,e27
77,e28
78,e3
79,e2
80,e12
81,e11
82,e52
83,e51
84,e47
85,e48
86,e2
87,e1
88,e15
89,e14
90,e39
91,e40
92,e21
93,e22
94,e25
95,e24
96,e37
97,e38
98,e8
99,e7
100,e31
101,e32
102,e49
103,e48
104,e14
105,e13
106,e10
107,e11
108,e30
109,e29
110,e45
111,e46
