,edges
0,e32
1,e31
2,e35
3,e34
4,e39
5,e38
6,e41
7,e42
8,e25
9,e26
10,e27
11,e28
12,e26
13,e27
14,e18
15,e19
16,e42
17,e43
18,e25
19,e24
20,e45
21,e44
22,e33
23,e32
24,e30
25,e31
26,e48
27,e47
28,e34
29,e33
30,e9
31,e8
32,e17
33,e16
34,e13
35,e12
36,e23
37,e22
38,e19
39,e20
40,e18
41,e17
42,e36
43,e37
44,e12
45,e11
46,e3
47,e2
48,e37
49,e38
50,e7
51,e6
52,e59
53,e60
54,e40
55,e41
56,e49
57,e50
58,e52
59,e51
60,e10
61,e9
62,e44
63,e43
64,e47
65,e46
66,e29
67,e30
68,e47
69,e45
70,e2
71,e1
72,e15
73,e14
74,e24
75,e23
76,e45
77,e46
78,e29
79,e28
80,e36
81,e35
82,e4
83,e5
84,e39
85,e40
86,e21
87,e22
88,e8
89,e7
90,e49
91,e48
92,e14
93,e13
94,e10
95,e11
96,e20
97,e21
98,e3
99,e4
100,e16
101,e15
