,edges
0,e9
1,e8
2,e34
3,e33
4,e31
5,e32
6,e49
7,e48
8,e8
9,e7
10,e46
11,e47
12,e29
13,e28
14,e20
15,e19
16,e22
17,e23
18,e15
19,e16
20,e42
21,e41
22,e37
23,e38
24,e31
25,e20
26,e38
27,e39
28,e11
29,e10
30,e36
31,e35
32,e21
33,e23
34,e4
35,e5
36,e48
37,e51
38,e12
39,e13
40,e45
41,e44
42,e30
43,e31
44,e25
45,e26
46,e12
47,e14
48,e45
49,e46
50,e23
51,e24
52,e26
53,e27
54,e35
55,e34
56,e20
57,e21
58,e7
59,e6
60,e59
61,e60
62,e27
63,e28
64,e14
65,e13
66,e50
67,e49
68,e48
69,e47
70,e3
71,e4
72,e53
73,e52
74,e41
75,e40
76,e24
77,e25
78,e37
79,e36
80,e29
81,e30
82,e6
83,e5
84,e12
85,e11
86,e3
87,e2
88,e44
89,e43
90,e32
91,e33
92,e46
93,e50
94,e17
95,e15
96,e17
97,e16
98,e21
99,e22
100,e39
101,e40
102,e43
103,e42
104,e19
105,e18
106,e18
107,e17
108,e10
109,e9
110,e2
111,e1
112,e12
113,e10
114,e15
115,e14
