,edges
0,concavity_worst
1,compactness_worst
2,fractal_dimension_se
3,compactness_se
4,compactness_mean
5,concavity_mean
6,texture_mean
7,texture_worst
8,radius_mean
9,perimeter_mean
10,radius_mean
11,area_mean
12,radius_worst
13,perimeter_worst
14,area_mean
15,radius_worst
16,compactness_worst
17,fractal_dimension_worst
18,radius_worst
19,area_worst
20,concavity_mean
21,concave points_mean
22,perimeter_se
23,radius_se
24,compactness_se
25,concavity_se
26,radius_se
27,area_se
28,compactness_mean
29,perimeter_mean
