,edges
0,concavity_mean
1,compactness_mean
2,fractal_dimension_se
3,compactness_se
4,compactness_mean
5,radius_mean
6,texture_mean
7,texture_worst
8,concave points_mean
9,concavity_mean
10,concave points_worst
11,concave points_mean
12,perimeter_se
13,radius_se
14,radius_worst
15,perimeter_mean
16,compactness_worst
17,concavity_worst
18,perimeter_mean
19,radius_mean
20,radius_mean
21,area_mean
22,fractal_dimension_worst
23,compactness_worst
24,area_se
25,perimeter_worst
26,radius_worst
27,area_worst
28,perimeter_worst
29,radius_worst
30,compactness_se
31,concavity_se
32,radius_se
33,area_se
34,fractal_dimension_worst
35,fractal_dimension_mean
