,edges
0,compactness_worst
1,concavity_worst
2,fractal_dimension_worst
3,fractal_dimension_mean
4,radius_se
5,area_se
6,concavity_mean
7,compactness_mean
8,radius_se
9,perimeter_se
10,perimeter_mean
11,radius_mean
12,radius_mean
13,area_mean
14,perimeter_worst
15,radius_worst
16,perimeter_mean
17,perimeter_worst
18,concave points_mean
19,concavity_mean
20,radius_worst
21,area_worst
22,texture_worst
23,texture_mean
24,compactness_worst
25,fractal_dimension_worst
26,compactness_mean
27,radius_mean
28,fractal_dimension_se
29,compactness_se
