,edges
0,compactness_mean
1,concavity_mean
2,concavity_worst
3,compactness_worst
4,fractal_dimension_se
5,compactness_se
6,texture_mean
7,texture_worst
8,area_mean
9,perimeter_worst
10,radius_mean
11,area_mean
12,perimeter_worst
13,radius_worst
14,compactness_worst
15,fractal_dimension_worst
16,radius_worst
17,area_worst
18,concavity_mean
19,concave points_mean
20,perimeter_se
21,radius_se
22,radius_se
23,area_se
24,radius_mean
25,perimeter_mean
26,fractal_dimension_worst
27,fractal_dimension_mean
28,compactness_mean
29,perimeter_mean
