,edges
0,fractal_dimension_mean
1,fractal_dimension_worst
2,concavity_mean
3,compactness_mean
4,compactness_worst
5,concavity_worst
6,radius_worst
7,perimeter_worst
8,compactness_mean
9,perimeter_mean
10,radius_se
11,area_se
12,compactness_se
13,concavity_se
14,perimeter_se
15,radius_se
16,symmetry_mean
17,symmetry_worst
18,area_worst
19,area_se
20,smoothness_mean
21,fractal_dimension_mean
22,smoothness_worst
23,smoothness_mean
24,concavity_worst
25,concavity_mean
26,compactness_worst
27,compactness_mean
28,texture_worst
29,texture_mean
30,fractal_dimension_worst
31,compactness_worst
32,radius_worst
33,area_worst
34,fractal_dimension_se
35,compactness_se
36,radius_mean
37,perimeter_mean
38,radius_mean
39,area_mean
40,area_mean
41,radius_worst
42,concave points_mean
43,concavity_mean
