,edges
0,feature10
1,feature8
2,feature21
3,feature33
4,feature17
5,feature19
6,feature25
7,feature29
8,feature14
9,feature12
10,feature5
11,feature3
12,feature9
13,feature11
14,feature21
15,feature7
16,feature11
17,feature17
18,feature8
19,feature6
20,feature23
21,feature27
22,feature33
23,feature31
24,feature27
25,feature25
26,feature14
27,feature23
28,feature16
29,feature14
30,feature6
31,feature4
32,feature13
33,feature15
34,feature22
35,feature16
36,feature23
37,feature13
38,feature17
39,feature25
40,feature15
41,feature21
42,feature12
43,feature10
44,feature18
45,feature20
46,feature15
47,feature9
48,feature7
49,feature5
