,edges
0,feature24
1,feature22
2,feature6
3,feature4
4,feature14
5,feature12
6,feature28
7,feature32
8,feature8
9,feature6
10,feature11
11,feature17
12,feature17
13,feature19
14,feature32
15,feature34
16,feature13
17,feature7
18,feature12
19,feature10
20,feature5
21,feature3
22,feature11
23,feature9
24,feature15
25,feature11
26,feature31
27,feature33
28,feature18
29,feature31
30,feature21
31,feature17
32,feature26
33,feature18
34,feature22
35,feature14
36,feature7
37,feature5
38,feature18
39,feature20
40,feature23
41,feature13
42,feature15
43,feature21
44,feature13
45,feature15
46,feature28
47,feature30
48,feature29
49,feature27
50,feature19
51,feature14
52,feature29
53,feature25
54,feature26
55,feature28
56,feature10
57,feature8
58,feature27
59,feature23
60,feature14
61,feature16
62,feature31
63,feature29
64,feature27
65,feature21
