,edges
0,feature28
1,feature32
2,feature33
3,feature31
4,feature25
5,feature27
6,feature13
7,feature5
8,feature14
9,feature12
10,feature13
11,feature7
12,feature32
13,feature34
14,feature18
15,feature20
16,feature12
17,feature10
18,feature5
19,feature3
20,feature17
21,feature11
22,feature8
23,feature6
24,feature5
25,feature11
26,feature17
27,feature19
28,feature28
29,feature30
30,feature23
31,feature21
32,feature15
33,feature13
34,feature14
35,feature23
36,feature16
37,feature8
38,feature29
39,feature25
40,feature21
41,feature33
42,feature12
43,feature4
44,feature14
45,feature16
46,feature21
47,feature15
48,feature33
49,feature29
50,feature19
51,feature9
52,feature22
53,feature14
54,feature20
55,feature22
56,feature26
57,feature28
58,feature15
59,feature17
